region,price,manufacturer,model,cylinders,fuel,odometer,transmission,drive,type,seats,engine_cc,max_power,age
ambala,463000,maruti suzuki,ignis,4.0,petrol,19150,manual,fwd,hatchback,,,,4
ambala,753000,hyundai,new i20,4.0,petrol,21505,automatic,fwd,hatchback,,,,2
ambala,508000,renault,triber,3.0,petrol,20368,manual,fwd,muv,,,,4
ambala,1816000,mahindra,scorpio n,4.0,diesel,51499,automatic,rwd,suv,,,,3
ambala,319000,maruti suzuki,swift dzire,4.0,diesel,74176,manual,fwd,sedan,,,,11
ambala,442000,maruti suzuki,swift,4.0,petrol,55356,manual,fwd,hatchback,,,,8
ambala,398000,renault,kwid,3.0,petrol,4091,manual,fwd,hatchback,,,,3
bangalore,762000,maruti suzuki,baleno,4.0,petrol,29207,automatic,fwd,hatchback,,,,3
bangalore,3080358,mercedes-benz,e-class,4.0,diesel,44996,automatic,rwd,sedan,,,,9
bangalore,346000,ford,figo aspire,4.0,petrol,85654,manual,fwd,sedan,,,,10
bangalore,460000,hyundai,grand i10,4.0,petrol,111842,automatic,fwd,hatchback,,,,10
bangalore,414000,maruti suzuki,celerio x,3.0,petrol,52220,automatic,fwd,hatchback,,,,8
bangalore,382000,mahindra,kuv100,3.0,petrol,52972,manual,fwd,crossover,,,,9
bangalore,881000,maruti suzuki,vitara brezza,4.0,petrol,17156,manual,fwd,suv,,,,5
bangalore,401000,hyundai,grand i10,4.0,petrol,90761,automatic,fwd,hatchback,,,,12
bangalore,408000,hyundai,verna,4.0,petrol,55679,manual,fwd,sedan,,,,14
bangalore,569000,maruti suzuki,baleno,4.0,petrol,114302,manual,fwd,hatchback,,,,7
bangalore,412000,maruti suzuki,wagon r 1.0,3.0,petrol,77180,automatic,fwd,hatchback,,,,9
bangalore,3989358,mercedes-benz,e-class,4.0,petrol,17860,automatic,rwd,sedan,,,,7
bangalore,766000,ford,ecosport,3.0,petrol,80072,automatic,fwd,suv,,,,8
bangalore,458000,hyundai,grand i10,4.0,petrol,112554,automatic,fwd,hatchback,,,,10
bangalore,338000,hyundai,grand i10,4.0,petrol,60311,manual,fwd,hatchback,,,,12
bangalore,396000,maruti suzuki,celerio,3.0,petrol,92097,automatic,fwd,hatchback,,,,10
bangalore,566000,hyundai,grand i10,4.0,petrol,29061,manual,fwd,hatchback,,,,6
bangalore,1109893,kia,sonet,4.0,diesel,49591,automatic,fwd,suv,,,,6
bangalore,542000,hyundai,grand i10 nios,4.0,petrol,47366,manual,fwd,hatchback,,,,6
bangalore,540000,hyundai,elite i20,4.0,diesel,93649,manual,fwd,hatchback,,,,10
bangalore,285000,renault,kwid,3.0,petrol,55111,manual,fwd,hatchback,,,,10
bangalore,509000,hyundai,xcent,4.0,petrol,41818,manual,fwd,sedan,,,,9
bangalore,312000,renault,kwid,3.0,petrol,70836,automatic,fwd,hatchback,,,,9
bangalore,1240183,maruti suzuki,xl6,4.0,petrol,28018,automatic,fwd,muv,,,,3
bangalore,1155343,volkswagen,taigun,3.0,petrol,92717,automatic,fwd,suv,,,,4
bangalore,3282358,mercedes-benz,c-class,4.0,petrol,47657,automatic,rwd,sedan,,,,5
bangalore,362000,maruti suzuki,celerio,3.0,petrol,124545,automatic,fwd,hatchback,,,,10
