type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,318000.0,998.0,58.16,3.0,5.0,wagon r,maruti,77304,ghaziabad,fwd,9
hatchback,manual,cng,725000.0,1197.0,68.05,4.0,5.0,grand i10 nios,hyundai,25000,new delhi,,5
hatchback,manual,cng,450000.0,998.0,58.33,3.0,5.0,celerio,maruti,37334,pune,fwd,7
sedan,manual,cng,395000.0,1497.0,116.3,4.0,5.0,city,honda,46483,mumbai,fwd,13
hatchback,manual,cng,350000.0,998.0,58.2,3.0,5.0,celerio,maruti,90000,navsari,fwd,12
hatchback,manual,cng,367000.0,998.0,58.16,3.0,5.0,wagon r,maruti,77452,ghaziabad,fwd,8
minivans,manual,cng,607000.0,1196.0,61.68,4.0,5.0,eeco,maruti,31431,pune,,5
hatchback,manual,cng,141000.0,998.0,58.2,3.0,5.0,wagon r,maruti,167611,gurgaon,fwd,15
minivans,manual,cng,550000.0,1196.0,61.68,4.0,5.0,eeco,maruti,12500,ranga reddy,,5
hatchback,manual,cng,400000.0,796.0,40.36,3.0,4.0,alto 800,maruti,15000,bathinda,,5
hatchback,manual,cng,560000.0,1086.0,59.17,4.0,5.0,santro,hyundai,35000,chandigarh,fwd,4
hatchback,manual,cng,229999.99999999997,998.0,58.16,3.0,5.0,wagon r,maruti,60000,behror,fwd,13
hatchback,manual,cng,740000.0,1199.0,72.0,3.0,5.0,tiago,tata,10000,agra,,4
minivans,manual,cng,315000.0,1196.0,63.0,4.0,5.0,eeco,maruti,135000,porbandar,rwd,11
minivans,manual,cng,570000.0,1196.0,61.68,4.0,5.0,eeco,maruti,50000,amreli,,5
hatchback,manual,cng,245000.00000000003,998.0,58.16,3.0,5.0,wagon r,maruti,70000,mumbai,fwd,13
hatchback,manual,cng,720000.0,1199.0,72.0,3.0,5.0,tiago,tata,10000,agra,,4
hatchback,manual,cng,120000.0,796.0,38.4,3.0,5.0,alto,maruti,80000,ankleshwar,two wheel drive,15
muv,manual,cng,950000.0,1462.0,91.18,4.0,7.0,ertiga tour,maruti,70000,budaun,fwd,6
hatchback,manual,cng,440000.00000000006,998.0,58.16,3.0,5.0,wagon r,maruti,50000,kanpur,fwd,7
hatchback,manual,cng,640000.0,998.0,55.92,3.0,5.0,wagon r,maruti,25000,ahmednagar,,4
sedan,manual,cng,725000.0,1197.0,68.05,4.0,5.0,aura,hyundai,18734,gurgaon,,5
hatchback,manual,cng,500000.0,796.0,40.36,3.0,4.0,alto 800,maruti,5000,allahabad,,4
hatchback,manual,cng,280000.0,998.0,58.16,3.0,5.0,wagon r,maruti,101232,pune,fwd,13
hatchback,manual,cng,130000.0,998.0,58.2,3.0,5.0,wagon r,maruti,68943,noida,fwd,16
hatchback,manual,cng,265000.0,998.0,58.16,3.0,5.0,wagon r,maruti,128312,ghaziabad,fwd,12
hatchback,manual,cng,319000.0,998.0,58.16,3.0,5.0,wagon r,maruti,43264,pune,fwd,12
